Camerun,51,A,0,3,1,-3
Mexico,19,A,0,3,1,1
Brasil,4,A,5,3,3,3
Croacia,21,A,0,0,0,1
Espania,1,B,1,3,-3,3
Holanda,15,B,0,1,-3,1
Chile,13,B,0,3,-3,-3
Australia,59,B,0,3,3,-3
Costa de Marfil,21,C,0,0,0,1
Japon,47,C,0,3,3,3
Grecia,11,C,0,0,0,-3
Colombia,5,C,0,3,1,1
Inglaterra,11,D,1,-3,-3,3
Italia,9,D,4,1,1,-3
Costa Rica,34,D,0,-3,-3,3
Uruguay,6,D,2,0,0,1
Francia,16,E,1,0,3,3
Suiza,8,E,0,0,-3,1
Honduras,31,E,0,-3,1,3
Ecuador,28,E,0,1,3,-3
Nigeria,44,F,0,1,1,-3
Iran,37,F,0,0,1,1
Bosnia y Herzegovia,25,F,0,0,-3,-3
Argentina,7,F,2,1,3,1
Ghana,38,G,0,0,0,-3
Alemania,2,G,3,3,3,1
Portugal,3,G,0,0,0,3
EEUU,14,G,0,3,-3,1
Argelia,25,H,0,0,0,3
Republica de Corea,55,H,0,-3,-3,3
Belgica,12,H,0,-3,1,3
Rusia,18,H,0,3,3,3
